provider,number_patients,predicted_deaths,provider_type,ave_age,number_deaths,smr,lower_95limit,upper_95limit,lower_99limit,upper_99limit
212,193,29.57542,2,63.51538,28,.946732,.6395952,1.360405,.5263565,1.473644
2,204,29.68234,3,47.3027,23,.7748716,.6402448,1.359755,.5272103,1.47279
126,165,29.80379,3,59.81628,32,1.073689,.6409786,1.359021,.5281745,1.471825
172,348,30.43696,3,58.75925,30,.9856439,.6447325,1.355268,.5331079,1.466892
39,190,31.42304,3,81.39536,30,.9547134,.6503513,1.349649,.5404921,1.459508
288,229,31.73541,2,73.0368,25,.7877635,.6520763,1.347924,.5427592,1.457241
224,205,31.84429,1,58.28609,39,1.224709,.6526716,1.347328,.5435415,1.456459
30,172,33.11139,0,57.1086,37,1.11744,.6593822,1.340618,.5523605,1.447639
94,263,33.81491,0,66.9241,32,.9463282,.6629441,1.337056,.5570416,1.442958
132,370,34.01912,0,74.28503,26,.764276,.6639572,1.336043,.5583731,1.441627
252,276,34.95795,3,65.10647,36,1.029809,.6685004,1.3315,.5643436,1.435656
29,257,35.46781,2,66.55769,43,1.212367,.6708916,1.329108,.5674863,1.432514
3,212,35.97301,0,66.63648,42,1.167542,.6732108,1.326789,.5705341,1.429466
209,384,37.88685,3,65.92741,44,1.161353,.6815716,1.318428,.5815218,1.418478
215,164,38.60793,1,61.76141,48,1.243268,.6845592,1.315441,.5854482,1.414552
170,193,39.05425,2,64.33646,39,.9986109,.6863669,1.313633,.5878238,1.412176
117,256,39.35512,0,50.96787,43,1.092615,.687568,1.312432,.5894023,1.410598
28,258,39.44536,2,61.73181,32,.8112487,.6879256,1.312074,.5898723,1.410128
214,224,39.59792,2,83.67503,33,.8333772,.6885273,1.311473,.5906631,1.409337
93,212,39.59887,0,60.34509,38,.9596233,.6885311,1.311469,.590668,1.409332
119,244,41.82838,3,91.11055,39,.9323813,.6969456,1.303054,.6017264,1.398274
191,239,42.11693,2,82.44427,41,.9734803,.6979855,1.302014,.603093,1.396907
42,201,42.48244,0,66.45159,46,1.0828,.6992876,1.300712,.6048042,1.395196
120,227,43.01188,2,70.56642,51,1.185719,.7011441,1.298856,.607244,1.392756
44,421,44.06395,1,64.25465,45,1.021243,.7047334,1.295267,.611961,1.388039
179,275,44.18557,2,55.83573,51,1.154223,.70514,1.29486,.6124954,1.387505
88,259,44.59007,3,54.34704,56,1.255885,.7064804,1.293519,.614257,1.385743
6,328,44.95103,0,61.99228,41,.9121036,.7076613,1.292339,.615809,1.384191
186,228,45.025,2,69.71967,48,1.066074,.7079016,1.292098,.6161247,1.383875
107,291,45.6152,3,59.64415,47,1.030358,.7097974,1.290203,.6186162,1.381384
200,402,45.79728,0,83.7434,50,1.091768,.7103749,1.289625,.6193751,1.380625
168,208,46.55817,1,69.98988,43,.9235758,.7127513,1.287249,.6224982,1.377502
216,413,46.96318,0,57.92643,39,.8304378,.7139926,1.286007,.6241294,1.375871
22,259,48.81638,0,73.42773,49,1.003761,.7194739,1.280526,.631333,1.368667
40,342,50.54084,0,67.49827,44,.8705831,.7243012,1.275699,.6376771,1.362323
113,214,51.01207,0,69.031,55,1.078176,.7255776,1.274422,.6393544,1.360646
89,228,51.42435,1,59.10618,59,1.147316,.7266799,1.27332,.640803,1.359197
189,533,51.47164,1,75.66535,68,1.321116,.7268054,1.273195,.6409681,1.359032
140,769,54.58099,3,65.90265,43,.7878202,.7347012,1.265299,.6513446,1.348655
123,214,54.93089,0,58.07771,47,.8556206,.7355475,1.264453,.6524568,1.347543
165,222,55.20614,0,76.73733,55,.9962659,.7362075,1.263793,.6533243,1.346676
43,287,56.26615,3,69.17342,64,1.137451,.7387042,1.261296,.6566054,1.343395
173,370,59.90808,0,69.44114,45,.7511507,.746771,1.253229,.6672068,1.332793
164,343,60.39989,0,67.59588,54,.8940414,.7478041,1.252196,.6685645,1.331435
115,216,62.72218,0,69.64662,55,.8768828,.7525169,1.247483,.6747581,1.325242
37,298,64.0524,3,69.6562,67,1.046019,.7551003,1.2449,.678153,1.321847
26,215,65.19614,1,75.38277,79,1.211728,.7572579,1.242742,.6809886,1.319011
114,508,66.64714,0,66.10252,74,1.110325,.7599148,1.240085,.6844804,1.31552
139,288,67.04493,0,75.66827,70,1.044076,.7606282,1.239372,.6854178,1.314582
210,440,68.15416,3,76.24095,89,1.305863,.762584,1.237416,.6879883,1.312012
166,438,76.01497,1,65.93674,61,.8024735,.7751947,1.224805,.7045612,1.295439
109,282,76.13283,1,63.95755,73,.9588505,.7753688,1.224631,.70479,1.29521
38,326,78.83197,3,48.51755,79,1.002131,.7792479,1.220752,.7098879,1.290112
175,405,78.94405,2,68.74597,66,.8360351,.7794046,1.220595,.7100939,1.289906
143,381,81.67216,3,75.85957,86,1.05299,.7831202,1.21688,.7149769,1.285023
1,450,85.71371,2,80.406,155,1.808346,.7882951,1.211705,.7217777,1.278222
149,574,88.05291,0,62.25247,99,1.124324,.7911261,1.208874,.7254982,1.274502
145,490,88.36346,1,57.55944,60,.6790137,.7914934,1.208507,.7259809,1.274019
36,741,88.99353,1,83.99709,76,.8539947,.7922329,1.207767,.7269527,1.273047
80,395,89.22297,3,71.0313,108,1.210451,.7925002,1.2075,.727304,1.272696
8,484,90.67366,3,62.61869,88,.9705134,.7941667,1.205833,.7294943,1.270506
25,590,93.02633,0,52.66655,79,.8492219,.7967862,1.203214,.7329367,1.267063
24,612,94.36522,3,68.73581,82,.8689643,.798233,1.201767,.7348381,1.265162
127,482,97.78362,1,80.53011,91,.9306262,.8017912,1.198209,.7395142,1.260486
138,450,101.3642,3,71.38798,115,1.134523,.8053234,1.194677,.7441562,1.255844
163,532,102.8128,3,48.81726,110,1.069906,.8066997,1.1933,.745965,1.254035
51,641,103.2441,0,54.27858,98,.9492071,.8071039,1.192896,.7464961,1.253504
35,548,104.2139,0,71.56944,100,.9595653,.8080035,1.191996,.7476785,1.252322
182,423,106.9064,3,66.42013,133,1.244079,.8104367,1.189563,.7508762,1.249124
178,522,107.4771,0,84.50029,101,.9397352,.8109407,1.189059,.7515385,1.248461
16,515,110.0683,0,70.65833,100,.9085264,.8131794,1.186821,.7544806,1.245519
111,577,111.5518,2,84.11289,120,1.075733,.8144257,1.185574,.7561185,1.243881
116,411,113.1239,1,65.14584,125,1.104983,.8157197,1.18428,.7578191,1.242181
131,540,116.8874,3,68.69497,128,1.095071,.8187107,1.181289,.7617499,1.23825
14,477,122.0107,2,50.53568,110,.9015599,.8225577,1.177442,.7668056,1.233194
13,404,122.3434,2,90.73724,126,1.029888,.8227992,1.177201,.7671229,1.232877
207,461,122.9649,2,58.78128,104,.8457701,.8232475,1.176752,.7677121,1.232288
142,488,133.2023,3,66.01688,142,1.066048,.8301756,1.169824,.776817,1.223183
12,608,134.9962,0,72.32583,123,.911137,.8313076,1.168692,.7783048,1.221695
4,780,135.1791,3,76.41122,134,.9912777,.8314219,1.168578,.7784548,1.221545
7,415,153.8553,3,53.36343,129,.8384503,.8419845,1.158016,.7923362,1.207664
108,862,164.8941,3,76.93571,148,.897546,.8473652,1.152635,.7994075,1.200592
15,842,168.4855,3,61.80476,159,.9437013,.8490008,1.150999,.801557,1.198443
11,680,168.7949,0,80.92525,161,.9538203,.8491392,1.150861,.8017389,1.198261
33,620,175.0244,2,75.79313,166,.9484389,.8518482,1.148152,.8052992,1.194701
134,654,177.4971,0,71.81849,200,1.126779,.8528838,1.147116,.8066601,1.19334
46,914,181.3134,0,56.38053,175,.9651798,.8544403,1.14556,.8087056,1.191294
20,1128,184.4703,3,74.11054,177,.9595042,.8556912,1.144309,.8103495,1.18965
188,954,215.8901,2,64.01154,183,.8476535,.8666049,1.133395,.8246924,1.175308
45,946,242.4033,0,65.06396,259,1.068467,.8741113,1.125889,.8345572,1.165443
101,883,245.1189,0,85.82239,218,.8893643,.8748106,1.125189,.8354762,1.164524
